;sentence;export
0;Liegt bei Ihnen eine vom Arzt diagnostizierte Demenz vor?;['Demenz']
1;Liegt bei Ihnen ein vom Arzt diagnostizierter Diabetes vor?;['Diabetes']
2;Wann war die letzte Injektion?;['Injektion']
3;Hatten Sie bereits einen vom Arzt diagnostizierten Herzinfarkt?;['Herzinfarkt']
4;Ist bei Ihnen eine vom Arzt diagnostizierte Herzinsuffizienz bekannt?;['Herzinsuffizienz']
5;Ist bei Ihnen ein vom Arzt diagnostizierter Hypertonus bekannt?;['Hypertonus']
6;Ist bei Ihnen eine vom Arzt diagnostizierte KHK bekannt?;['KHK']
7;Rauchen Sie?;['Rauchen']
8;Wurde bei Ihnen jemals ein Schlaganfall von einem Arzt diagnostiziert?;['Schlaganfall']
9;Wurde bei Ihnen jemals ein Vorhofflimmern von einem Arzt diagnostiziert?;['Vorhofflimmern']
10;Ist bei Ihnen jemals von einem Arzt eine Multiple Sklerose (MS) diagnostiziert worden?;['Multiple', 'Sklerose', 'MS']
11;Ist bei Ihnen jemals von einem Arzt ein Hirntumor diagnostiziert worden?;['Hirntumor']
12;Wird die Medikamentenerfassung durchgeführt?;['Medikamentenerfassung']
13;Berichtete Körpergröße;['Körpergröße']
14;Berichtetes Körpergewicht;['Berichtetes', 'Körpergewicht']
15;Gemessener Taillenumfang;['Taillenumfang']
16;Gemessener Hüftumfang;['Hüftumfang']
17;Wird die Blutentnahme durchgeführt?;['Blutentnahme']
18;HB-Schnelltest durchgeführt;['HB-Schnelltest']
19;HB-Wert;['HB-Wert']
20;Art der Blutentnahme;['Art', 'Blutentnahme']
21;Routine Labor: 1xEDTA Monovette 4ml: Abgenommen?;['Routine', 'Labor', 'Monovette']
22;Routine Labor: 1xHeparin Monovette 5ml: Abgenommen?;['Routine', 'Labor', 'Monovette']
23;Routine Labor: 2xSerum Monovette 8ml: Abgenommen?;['Routine', 'Labor', 'Monovette', '8ml']
24;Biobank: 3xCell Preparation Tube a' 8ml: Abgenommen?;['Biobank', '3xCell', 'Preparation', 'Tube', '8ml']
25;Biobank: 1xCitrat Monovette a' 9ml: Abgenommen?;['Biobank', 'Monovette', '9ml']
26;Biobank: 2xPaxGene Blood RNA Tube a' 2,5ml: Abgenommen?;['Biobank', 'Blood', 'RNA', 'Tube', '2,5ml']
27;Biobank: 6xEDTA Plasma Monovette a' 7,5ml: Abgenommen?;['Biobank', '6xEDTA', 'Plasma', 'Monovette', '7,5ml']
28;Biobank: 6xAbnahme: Serum Monovette a' 7,5ml;['Biobank', 'Serum', 'Monovette']
29;Liegt die letzte Nahrungsaufnahme länger als acht Stunden zurück?;['Nahrungsaufnahme', 'Stunden']
30;Vor wie vielen Stunden war die letzte Nahrungsaufnahme?;['Stunden', 'Nahrungsaufnahme']
31;Was wurde zuletzt gegessen?;[]
32;Parenterale Ernährung?;['Ernährung']
33;Vor wie vielen Stunden wurden zum letzten Mal koffeinhaltige Getränke getrunken?;['Stunden', 'Mal', 'Getränke']
34;Vor wie vielen Stunden wurden zum letzten Mal alkoholische Getränke getrunken?;['Stunden', 'Mal', 'Getränke']
35;Vor wie vielen Stunden wurde zum letzten Mal Sport betrieben?;['Stunden', 'Mal', 'Sport']
36;Unerwünschte örtliche Reaktionen bei Entnahme der Hautstanze;['Reaktionen', 'Entnahme', 'Hautstanze']
37;Schmerzen;['Schmerzen']
38;Schwellung;['Schwellung']
39;Blutung;['Blutung']
40;Infektion;['Infektion']
41;sonstiges;[]
42;Wenn Sonstiges, was für eine Reaktion trat auf?;['Sonstiges', 'Reaktion']
43;Sind Unverträglichkeitsreaktionen auf die Lokalanästhesie aufgetreten?;['Unverträglichkeitsreaktionen', 'Lokalanästhesie']
44;Niesen |  Husten |  Quaddeln |  Juckreiz |  Hautrötung |  Ödeme |  Tachykardie;['Niesen', 'Husten', 'Quaddeln', 'Juckreiz', 'Hautrötung', 'Ödeme', 'Tachykardie']
45;Beklemmung |  Dyspnoe |  Bauchkrämpfe |  gestaute Halsnerven |  Blutdruckabfall;['Beklemmung', 'Dyspnoe', 'Bauchkrämpfe', 'Halsnerven', 'Blutdruckabfall']
46;Schwere Luftnot |  Krampfanfälle |  Eintrübung |  starker Blutdruckabfall;['Luftnot', 'Krampfanfälle', 'Eintrübung', 'Blutdruckabfall']
47;Bleiche oder livide Haut |  Verlust des Bewusstseins |  Pulse nicht tastbar;['Bleiche', 'Haut', 'Verlust', 'Bewusstseins', 'Pulse']
48;Wurde die Hautstanze entnommen?;['Hautstanze']
49;Speichelgewicht;['Speichelgewicht']
50;Wird der Zahntaschenabstrich an einem Implantat oder an einem eigenen Zahn durchgeführt?;['Zahntaschenabstrich', 'Implantat', 'Zahn']
51;Linksventrikuläre Hypertrophie;['Hypertrophie']
52;Aortenklappeninsuffizienz;['Aortenklappeninsuffizienz']
53;Aortenklappenstenose;['Aortenklappenstenose']
54;Mitralklappeninsuffizienz;['Mitralklappeninsuffizienz']
55;Mitralklappenstenose;['Mitralklappenstenose']
56;Trikuspidalklappeninsuffizienz;['Trikuspidalklappeninsuffizienz']
57;Linksventrikuläre Hypertrophie (Interventrikuläre Septumdicke);['Hypertrophie', 'Interventrikuläre', 'Septumdicke']
58;Basale Septumverdickung (Septal Bulge: z.B. als Frühzeichen einer arteriellen Hypertonie);['Septumverdickung', 'Septal', 'Bulge', 'Frühzeichen', 'Hypertonie']
59;Physiologische Atemvariabilität der vena Cava Inferior (VCI);['Atemvariabilität', 'Cava', 'Inferior', 'VCI']
60;Perikarderguss;['Perikarderguss']
61;Haben Sie heute, vor der Untersuchung, bereits einen Kaffee oder ein koffeinhaltiges Getränk (inkl. schwarzem oder grünem Tee) getrunken?;['Untersuchung', 'Kaffee', 'Getränk', 'Tee']
62;Um was für eine Art von Kaffee (inkl. koffeinfreiem Kaffee) oder koffeinhaltigem Getränk handelt es sich?;['Art', 'Kaffee', 'Kaffee', 'Getränk']
63;Wie haben Sie den Kaffee (oder das koffeinhaltige Getränk) getrunken?;['Kaffee', 'Getränk']
64;Wie viele Tassen (150 ml) haben Sie insgesamt heute vor der Untersuchung getrunken?;['Tassen', 'ml', 'Untersuchung']
65;Wann haben Sie den Kaffee oder das koffeinhaltige Getränk (bei mehreren das zuletzt getrunkene) getrunken?;['Kaffee', 'Getränk']
66;Befinden Sie sich aktuell in regelmäßiger kardiologischer Behandlung?;['Behandlung']
67;Waren sie in den letzten 12 Monaten zur Kontroll-Echokardiographie?;['Monaten', 'Kontroll-Echokardiographie']
68;Sklerosierung der Aortenklappe (in PLAX evaluiiert);['Sklerosierung', 'Aortenklappe', 'PLAX']
69;Sklerosierung der Mitralklappe;['Sklerosierung', 'Mitralklappe']
70;Händigkeit;['Händigkeit']
71;Gerätenummer Handgreifkraft;['Gerätenummer', 'Handgreifkraft']
72;1. Handgriffkraft rechte Hand;['Handgriffkraft', 'Hand']
73;1. Handgriffkraft linke Hand;['Handgriffkraft', 'Hand']
74;2. Handgriffkraft rechte Hand;['Handgriffkraft', 'Hand']
75;2. Handgriffkraft linke Hand;['Handgriffkraft', 'Hand']
76;3. Handgriffkraft rechte Hand;['Handgriffkraft', 'Hand']
77;3. Handgriffkraft linke Hand;['Handgriffkraft', 'Hand']
78;Ungültige Versuche;['Versuche']
79;Anzahl ungültige Versuche;['Anzahl', 'Versuche']
80;Besteht eine bekannte Verminderung der Kraft?;['Verminderung', 'Kraft']
81;Wo besteht die Kraftminderung?;['Kraftminderung']
82;Welche Einschränkung liegt vor?;['Einschränkung']
83;Welche sonstige Einschränkung?;['Einschränkung']
84;Handekzem kumulativ-toxisch/kontaktallergisch;['Handekzem']
85;Intertriginöse Dermatitis;['Intertriginöse', 'Dermatitis']
86;Kontaktdermatitis;['Kontaktdermatitis']
87;Lichen ruber (Knötchenflechte);['Lichen', 'Knötchenflechte']
88;Psoriasis (Schuppenflechte);['Psoriasis', 'Schuppenflechte']
89;Rosazea;['Rosazea']
90;Seborrhoisches Ekzem;['Ekzem']
91;Andere;[]
92;V.a. Viruserkrankungen der Haut;['Viruserkrankungen', 'Haut']
93;Herpes Iabialis;['Iabialis']
94;Verruca vulgaris |  Hände (Warzen);['Verruca', 'vulgaris', 'Hände', 'Warzen']
95;Verruca vulgaris/plantaris (Füße/Dornwarzen);['Verruca', 'vulgaris', 'Füße', 'Dornwarzen']
96;Andere (z.B. Windpocken |  Gürtelrose);['Windpocken', 'Gürtelrose']
97;V.a. Pilzerkrankungen der Haut;['Pilzerkrankungen', 'Haut']
98;Onychomykose (Nagelpilz);['Onychomykose', 'Nagelpilz']
99;Pityriasis versicolor (Kleienpilzflechte);['Pityriasis', 'versicolor', 'Kleienpilzflechte']
